Event,Time,SfcId,Result,Resource,Vnffgs,Reason
t,140.0,64,True,"[14461.429716683506, 23999999.166111544, 1112322.0506997881]","[64, 67]",
t,140.0,67,True,"[14461.429716683506, 23999999.166111544, 1112292.350319394]","[64, 67]",
+,141.0,73,False,"[14461.429716683506, 23999999.166111544, 1112292.350319394]","[64, 67]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,143.11882827070775,53,False,"[14461.429716683506, 23999999.166111544, 1112292.350319394]","[64, 67]",
+,144.0,74,True,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",
-,145.91462893663166,62,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",
+,146.0,75,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,148.3268260306359,49,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",
+,149.0,76,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,149.2588151449994,54,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",
-,149.5643691991085,60,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",
+,150.0,77,False,"[14436.030379820726, 23999998.737115275, 1112115.8170137696]","[64, 67, 74]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,150.0,64,True,"[14436.030379820726, 23999998.737115275, 1109861.84736337]","[64, 67, 74]",
t,150.0,67,True,"[14436.030379820726, 23999998.737115275, 1109877.307767457]","[64, 67, 74]",
t,150.0,74,True,"[14436.030379820728, 23999998.737115275, 1109910.343671746]","[64, 67, 74]",
-,151.14243776664426,52,False,"[14436.030379820728, 23999998.737115275, 1109910.343671746]","[64, 67, 74]",
+,152.0,78,True,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",
-,152.21812485955837,65,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",
-,152.47030500154443,70,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",
-,153.8934234531361,50,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",
+,157.0,79,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,157.15538863036875,73,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",
+,159.0,80,False,"[14417.753602725477, 23999998.472830053, 1109852.0634215963]","[64, 67, 74, 78]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,160.0,64,True,"[14417.753602725477, 23999998.472830053, 1099942.3384817007]","[64, 67, 74, 78]",
t,160.0,67,True,"[14417.753602725477, 23999998.472830053, 1099918.1445176066]","[64, 67, 74, 78]",
t,160.0,74,True,"[14417.753602725476, 23999998.472830053, 1099897.269131249]","[64, 67, 74, 78]",
t,160.0,78,True,"[14417.753602725476, 23999998.472830053, 1099871.3069485584]","[64, 67, 74, 78]",
-,161.64774519284575,67,True,"[14432.144112952126, 23999998.839261316, 1099918.5180315592]","[64, 74, 78]",
+,162.0,81,True,"[14422.001104386758, 23999998.473535188, 1099897.3865317937]","[64, 74, 78, 81]",
-,163.72173555295777,75,False,"[14422.001104386758, 23999998.473535188, 1099897.3865317937]","[64, 74, 78, 81]",
+,165.0,82,True,"[14411.98298722964, 23999998.125377998, 1099877.6403097997]","[64, 74, 78, 81, 82]",
-,165.358492555611,68,False,"[14411.98298722964, 23999998.125377998, 1099877.6403097997]","[64, 74, 78, 81, 82]",
+,167.0,83,False,"[14411.98298722964, 23999998.125377998, 1099877.6403097997]","[64, 74, 78, 81, 82]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,168.0,84,False,"[14411.98298722964, 23999998.125377998, 1099877.6403097997]","[64, 74, 78, 81, 82]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,169.0,85,True,"[14392.483585104703, 23999997.805084534, 1099817.0078586687]","[64, 74, 78, 81, 82, 85]",
t,170.0,64,True,"[14392.483585104703, 23999997.805084534, 1100417.9995954984]","[64, 74, 78, 81, 82, 85]",
t,170.0,74,True,"[14392.483585104703, 23999997.805084534, 1100358.4562030064]","[64, 74, 78, 81, 82, 85]",
t,170.0,78,True,"[14392.483585104703, 23999997.805084534, 1100321.8033570778]","[64, 74, 78, 81, 82, 85]",
t,170.0,81,True,"[14392.483585104705, 23999997.805084534, 1100308.5747442474]","[64, 74, 78, 81, 82, 85]",
t,170.0,82,True,"[14392.483585104703, 23999997.805084534, 1100298.1042215102]","[64, 74, 78, 81, 82, 85]",
t,170.0,85,True,"[14392.483585104703, 23999997.805084538, 1100249.9982323712]","[64, 74, 78, 81, 82, 85]",
-,170.66789635124513,64,True,"[14421.663358194546, 23999998.272541728, 1100395.6215853472]","[74, 78, 81, 82, 85]",
+,171.0,86,True,"[14404.017986765455, 23999997.82133515, 1100344.577959525]","[74, 78, 81, 82, 85, 86]",
+,174.0,87,False,"[14404.017986765455, 23999997.82133515, 1100344.577959525]","[74, 78, 81, 82, 85, 86]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,174.0,88,False,"[14404.017986765455, 23999997.82133515, 1100344.577959525]","[74, 78, 81, 82, 85, 86]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,174.02951890065023,63,False,"[14404.017986765455, 23999997.82133515, 1100344.577959525]","[74, 78, 81, 82, 85, 86]",
+,175.0,89,False,"[14404.017986765455, 23999997.82133515, 1100344.577959525]","[74, 78, 81, 82, 85, 86]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,178.0,90,True,"[14371.984170683592, 23999997.244211614, 1100191.4415830646]","[74, 78, 81, 82, 85, 86, 90]",
-,178.79602067450446,80,False,"[14371.984170683592, 23999997.244211614, 1100191.4415830646]","[74, 78, 81, 82, 85, 86, 90]",
+,179.0,91,False,"[14371.984170683592, 23999997.244211614, 1100191.4415830646]","[74, 78, 81, 82, 85, 86, 90]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,179.0,92,False,"[14371.984170683592, 23999997.244211614, 1100191.4415830646]","[74, 78, 81, 82, 85, 86, 90]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,179.92073219882423,72,False,"[14371.984170683592, 23999997.244211614, 1100191.4415830646]","[74, 78, 81, 82, 85, 86, 90]",
+,180.0,93,True,"[14348.7785411621, 23999996.88548667, 1100086.6099864393]","[74, 78, 81, 82, 85, 86, 90, 93]",
t,180.0,74,False,"[14374.177878024882, 23999997.314482942, 1105952.7125761572]","[78, 81, 82, 85, 86, 90, 93]",SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
t,180.0,78,True,"[14374.177878024882, 23999997.314482942, 1105932.901196596]","[78, 81, 82, 85, 86, 90, 93]",
t,180.0,81,True,"[14374.177878024882, 23999997.314482942, 1105928.1881622046]","[78, 81, 82, 85, 86, 90, 93]",
t,180.0,82,False,"[14384.195995182003, 23999997.662640136, 1105942.1192155015]","[78, 81, 85, 86, 90, 93]",SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
t,180.0,85,True,"[14384.195995182003, 23999997.66264014, 1105912.3989716638]","[78, 81, 85, 86, 90, 93]",
t,180.0,86,True,"[14384.195995181999, 23999997.662640136, 1105876.080044864]","[78, 81, 85, 86, 90, 93]",
t,180.0,90,True,"[14384.195995182, 23999997.662640132, 1105835.403000288]","[78, 81, 85, 86, 90, 93]",
t,180.0,93,True,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",
-,181.01506059451205,87,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",
+,182.0,94,False,"[14384.195995182, 23999997.662640136, 1105812.1418139047]","[78, 81, 85, 86, 90, 93]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
