Event,Time,SfcId,Result,Resource,Vnffgs,Reason
+,31.0,48,False,"[np.int64(569), np.int64(565), np.int64(21052)]",[42],SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,31.451694303736115,42,True,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
-,31.627065416218727,41,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,32.0,49,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,32.0,50,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,33.28096157614304,44,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,34.0,51,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,34.0,52,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,35.17099767444863,45,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,36.0,53,True,"[np.int64(568), np.int64(572), np.int64(21578)]",[53],
+,36.0,54,True,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
+,36.0,55,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,36.623345482373175,47,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
-,36.9132772578856,46,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
+,37.0,56,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,37.0,57,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,37.0,58,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,37.085255577363164,50,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
+,38.0,59,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,38.0,60,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,38.64710790940853,48,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
-,39.634355616449476,51,False,"[np.int64(539), np.int64(542), np.int64(19813)]","[53, 54]",
+,40.0,61,True,"[np.int64(503), np.int64(496), np.int64(18869)]","[53, 54, 61]",
-,40.07812317751316,49,False,"[np.int64(503), np.int64(496), np.int64(18869)]","[53, 54, 61]",
+,41.0,62,False,"[np.int64(503), np.int64(496), np.int64(18869)]","[53, 54, 61]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,41.0,63,False,"[np.int64(503), np.int64(496), np.int64(18869)]","[53, 54, 61]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
-,41.05866434445743,53,True,"[np.int64(535), np.int64(524), np.int64(20091)]","[54, 61]",
-,41.88951761587297,54,True,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
+,42.0,64,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,42.0,65,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,42.030129070788426,52,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,43.299334869910034,60,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,43.88734694981239,59,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,44.584091782844574,55,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,45.409798646920066,57,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,45.60183892584578,56,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
-,45.742840472682175,58,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],
+,46.0,66,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,47.0,67,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,47.0,68,False,"[np.int64(564), np.int64(554), np.int64(21856)]",[61],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,47.50542736192645,61,True,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,48.0,69,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,48.0,70,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,48.0,71,True,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
+,48.0,72,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,48.24015862167331,63,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
+,49.0,73,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,49.58383543835289,64,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
+,50.0,74,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,50.31693481096988,62,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
-,51.69192669277054,65,False,"[np.int64(571), np.int64(573), np.int64(22599)]",[71],
