Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
+,142.0,67,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,144.0,68,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,147.0,69,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,147.0,70,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,149.03248144796254,44,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,
-,149.97223652385065,46,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,
+,150.0,71,False,"[np.int64(16254), np.int64(24000000), np.int64(1101810)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,152.0,72,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,155.0,73,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,157.03965003641306,58,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,
-,157.38246303311664,72,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,
-,157.92220637496672,50,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,
-,158.44292711994657,49,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,
-,158.76887407277098,53,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,
+,159.0,74,False,"[np.int64(16254), np.int64(24000000), np.int64(1096778)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,161.0,75,True,"[np.int64(16222), np.int64(23999963), np.int64(1100082)]",[75],"dict_values([25, 26, 18, 9, 44, 40, 1])",
-,163.29920756500135,59,False,"[np.int64(16222), np.int64(23999963), np.int64(1100082)]",[75],,
+,165.0,76,False,"[np.int64(16222), np.int64(23999963), np.int64(1100082)]",[75],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,166.22614310669104,54,False,"[np.int64(16222), np.int64(23999963), np.int64(1100082)]",[75],,
+,167.0,77,False,"[np.int64(16222), np.int64(23999963), np.int64(1100082)]",[75],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,169.0,78,True,"[np.int64(16196), np.int64(23999947), np.int64(1099594)]","[75, 78]","dict_values([24, 43, 43, 19, 23])",
t,170.0,75,False,"[np.int64(16228), np.int64(23999984), np.int64(1102564)]",[78],,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
